pokemon,lvl,move
Rattata,4,Quick Attack
Rattata,7,Focus Energy
Rattata,10,Bite
Rattata,13,Laser Focus
Rattata,16,Take Down
Rattata,19,Assurance
Rattata,22,Crunch
Rattata,25,Sucker Punch
Rattata,28,Super Fang
Rattata,31,Double-Edge
Rattata,34,Endeavor
Raticate,1,Scary Face
Raticate,1,Swords Dance
Raticate,1,Tackle
Raticate,1,Tail Whip
Raticate,1,Quick Attack
Raticate,1,Focus Energy
Raticate,Evo.,Scary Face
Raticate,4,Quick Attack
Raticate,7,Focus Energy
Raticate,10,Bite
Raticate,13,Laser Focus
Raticate,16,Take Down
Raticate,19,Assurance
Raticate,24,Crunch
Raticate,29,Sucker Punch
Raticate,34,Super Fang
Raticate,39,Double-Edge
Raticate,44,Endeavor
Spearow,1,Peck
Spearow,1,Growl
Spearow,4,Leer
Spearow,8,Assurance
Spearow,11,Fury Attack
Spearow,15,Aerial Ace
Spearow,18,Wing Attack
Spearow,22,Take Down
Spearow,25,Agility
Spearow,29,Focus Energy
Spearow,32,Roost
Spearow,36,Drill Peck
Fearow,1,Drill Run
Fearow,1,Pluck
Fearow,1,Peck
Fearow,1,Growl
Fearow,1,Leer
Fearow,4,Leer
Fearow,8,Assurance
Fearow,11,Fury Attack
Fearow,15,Aerial Ace
Fearow,18,Wing Attack
Fearow,23,Take Down
Fearow,27,Agility
Fearow,32,Focus Energy
Fearow,36,Roost
Fearow,41,Drill Peck
Fearow,45,Drill Run
Ekans,1,Wrap
Ekans,1,Leer
Ekans,4,Poison Sting
Ekans,9,Bite
Ekans,12,Glare
Ekans,17,Screech
Ekans,20,Acid
Ekans,25,Stockpile
Ekans,25,Swallow
Ekans,25,Spit Up
Ekans,28,Acid Spray
Ekans,33,Sludge Bomb
Ekans,36,Gastro Acid
Ekans,38,Belch
Ekans,41,Haze
Ekans,44,Coil
Ekans,49,Gunk Shot
Arbok,1,Wrap
Arbok,1,Poison Sting
Arbok,1,Leer
Arbok,1,Bite
Arbok,1,Fire Fang
Arbok,1,Ice Fang
Arbok,1,Thunder Fang
Arbok,Evo.,Crunch
Arbok,12,Glare
Arbok,17,Screech
Arbok,20,Acid
Arbok,27,Stockpile
Arbok,27,Swallow
Arbok,27,Spit Up
Arbok,32,Acid Spray
Arbok,39,Sludge Bomb
Arbok,44,Gastro Acid
Arbok,48,Belch
Arbok,51,Haze
Arbok,56,Coil
Arbok,63,Gunk Shot
Pikachu,1,Play Nice
Pikachu,1,Sweet Kiss
Pikachu,1,Nuzzle
Pikachu,1,Nasty Plot
Pikachu,1,Charm
Pikachu,1,Thunder Shock
Pikachu,1,Tail Whip
Pikachu,1,Growl
Pikachu,1,Quick Attack
Pikachu,4,Thunder Wave
Pikachu,8,Double Team
Pikachu,12,Electro Ball
Pikachu,16,Feint
Pikachu,20,Spark
Pikachu,24,Agility
Pikachu,28,Iron Tail
Pikachu,32,Discharge
Pikachu,36,Thunderbolt
Pikachu,40,Light Screen
Pikachu,44,Thunder
Raichu,1,Play Nice
Raichu,1,Sweet Kiss
Raichu,1,Nuzzle
Raichu,1,Nasty Plot
Raichu,1,Charm
Raichu,1,Thunder Wave
Raichu,1,Double Team
Raichu,1,Electro Ball
Raichu,1,Feint
Raichu,1,Spark
Raichu,1,Agility
Raichu,1,Iron Tail
Raichu,1,Discharge
Raichu,1,Light Screen
Raichu,1,Thunder
Raichu,1,Thunder Shock
Raichu,1,Tail Whip
Raichu,1,Growl
Raichu,1,Quick Attack
Raichu,Evo.,Thunder Punch
Raichu,5,Thunderbolt
Sandshrew,1,Scratch
Sandshrew,1,Defense Curl
Sandshrew,3,Poison Sting
Sandshrew,6,Sand Attack
Sandshrew,9,Rollout
Sandshrew,12,Fury Cutter
Sandshrew,15,Rapid Spin
Sandshrew,18,Bulldoze
Sandshrew,21,Swift
Sandshrew,24,Fury Swipes
Sandshrew,27,Agility
Sandshrew,30,Slash
Sandshrew,33,Dig
Sandshrew,36,Gyro Ball
Sandshrew,39,Swords Dance
Sandshrew,42,Sandstorm
Sandshrew,45,Earthquake
Sandslash,1,Crush Claw
Sandslash,1,Scratch
Sandslash,1,Defense Curl
Sandslash,1,Poison Sting
Sandslash,1,Sand Attack
Sandslash,9,Rollout
Sandslash,12,Fury Cutter
Sandslash,15,Rapid Spin
Sandslash,18,Bulldoze
Sandslash,21,Swift
Sandslash,26,Fury Swipes
Sandslash,31,Sand Tomb
Sandslash,36,Slash
Sandslash,41,Dig
Sandslash,46,Gyro Ball
Sandslash,51,Swords Dance
Sandslash,56,Sandstorm
Sandslash,61,Earthquake
Nidoran♀,1,Growl
Nidoran♀,1,Poison Sting
Nidoran♀,5,Scratch
Nidoran♀,10,Tail Whip
Nidoran♀,15,Fury Swipes
Nidoran♀,20,Toxic Spikes
Nidoran♀,25,Double Kick
Nidoran♀,30,Bite
Nidoran♀,35,Helping Hand
Nidoran♀,40,Toxic
Nidoran♀,45,Flatter
Nidoran♀,50,Crunch
Nidoran♀,55,Earth Power
Nidorina,1,Growl
Nidorina,1,Poison Sting
Nidorina,1,Scratch
Nidorina,1,Tail Whip
Nidorina,15,Fury Swipes
Nidorina,22,Toxic Spikes
Nidorina,29,Double Kick
Nidorina,36,Bite
Nidorina,43,Helping Hand
Nidorina,50,Toxic
Nidorina,57,Flatter
Nidorina,64,Crunch
Nidorina,71,Earth Power
Nidoqueen,1,Superpower
Nidoqueen,1,Sludge WaveBDSP
Nidoqueen,1,Fury Swipes
Nidoqueen,1,Toxic Spikes
Nidoqueen,1,Double Kick
Nidoqueen,1,Bite
Nidoqueen,1,Helping Hand
Nidoqueen,1,Toxic
Nidoqueen,1,Flatter
Nidoqueen,1,Crunch
Nidoqueen,1,Earth Power
Nidoqueen,1,Growl
Nidoqueen,1,Poison Sting
Nidoqueen,1,Scratch
Nidoqueen,1,Tail Whip
Nidoqueen,Evo.,Superpower
Nidoran♂,1,Leer
Nidoran♂,1,Poison Sting
Nidoran♂,5,Peck
Nidoran♂,10,Focus Energy
Nidoran♂,15,Fury Attack
Nidoran♂,20,Toxic Spikes
Nidoran♂,25,Double Kick
Nidoran♂,30,Horn Attack
Nidoran♂,35,Helping Hand
Nidoran♂,40,Toxic
Nidoran♂,45,Flatter
Nidoran♂,50,Poison Jab
Nidoran♂,55,Earth Power
Nidorino,1,Leer
Nidorino,1,Poison Sting
Nidorino,1,Peck
Nidorino,1,Focus Energy
Nidorino,15,Fury Attack
Nidorino,22,Toxic Spikes
Nidorino,29,Double Kick
Nidorino,36,Horn Attack
Nidorino,43,Helping Hand
Nidorino,50,Toxic
Nidorino,57,Flatter
Nidorino,64,Poison Jab
Nidorino,71,Earth Power
Nidoking,1,Megahorn
Nidoking,1,Sludge WaveBDSP
Nidoking,1,Fury Attack
Nidoking,1,Toxic Spikes
Nidoking,1,Double Kick
Nidoking,1,Horn Attack
Nidoking,1,Helping Hand
Nidoking,1,Toxic
Nidoking,1,Flatter
Nidoking,1,Poison Jab
Nidoking,1,Earth Power
Nidoking,1,Leer
Nidoking,1,Poison Sting
Nidoking,1,Peck
Nidoking,1,Focus Energy
Nidoking,Evo.,Megahorn
Clefairy,1,Sing
Clefairy,1,Sweet Kiss
Clefairy,1,Disarming Voice
Clefairy,1,Charm
Clefairy,1,Splash
Clefairy,1,Pound
Clefairy,1,Copycat
Clefairy,1,Growl
Clefairy,1,Defense Curl
Clefairy,4,Stored Power
Clefairy,8,Encore
Clefairy,12,After You
Clefairy,16,Life Dew
Clefairy,20,Metronome
Clefairy,24,Moonlight
Clefairy,28,Gravity
Clefairy,32,Meteor Mash
Clefairy,36,Follow Me
Clefairy,40,Cosmic Power
Clefairy,44,Moonblast
Clefairy,48,Healing Wish
Clefable,1,Sing
Clefable,1,Sweet Kiss
Clefable,1,Disarming Voice
Clefable,1,Encore
Clefable,1,Charm
Clefable,1,Stored Power
Clefable,1,Minimize
Clefable,1,After You
Clefable,1,Life Dew
Clefable,1,Metronome
Clefable,1,Moonlight
Clefable,1,Gravity
Clefable,1,Meteor Mash
Clefable,1,Follow Me
Clefable,1,Cosmic Power
Clefable,1,Moonblast
Clefable,1,Healing Wish
Clefable,1,Splash
Clefable,1,Pound
Clefable,1,Copycat
Clefable,1,Growl
Clefable,1,Defense Curl
Vulpix,1,Ember
Vulpix,1,Tail Whip
Vulpix,4,Disable
Vulpix,8,Quick Attack
Vulpix,12,Spite
Vulpix,16,Incinerate
Vulpix,20,Confuse Ray
Vulpix,24,Will-O-Wisp
Vulpix,28,Extrasensory
Vulpix,32,Flamethrower
Vulpix,36,Imprison
Vulpix,40,Fire Spin
Vulpix,44,Safeguard
Vulpix,48,Inferno
Vulpix,52,Fire Blast
Ninetales,1,Nasty Plot
Ninetales,1,Spite
Ninetales,1,Incinerate
Ninetales,1,Confuse Ray
Ninetales,1,Will-O-Wisp
Ninetales,1,Extrasensory
Ninetales,1,Flamethrower
Ninetales,1,Imprison
Ninetales,1,Fire Spin
Ninetales,1,Safeguard
Ninetales,1,Inferno
Ninetales,1,Grudge
Ninetales,1,Fire Blast
Ninetales,1,Ember
Ninetales,1,Tail Whip
Ninetales,1,Disable
Ninetales,1,Quick Attack
Jigglypuff ,1,Sweet Kiss
Jigglypuff ,1,Disarming Voice
Jigglypuff ,1,Disable
Jigglypuff ,1,Charm
Jigglypuff ,1,Sing
Jigglypuff ,1,Pound
Jigglypuff ,1,Copycat
Jigglypuff ,1,Defense Curl
Jigglypuff ,4,Echoed Voice
Jigglypuff ,8,Covet
Jigglypuff ,12,Stockpile
Jigglypuff ,12,Spit Up
Jigglypuff ,12,Swallow
Jigglypuff ,16,Round
Jigglypuff ,20,Rest
Jigglypuff ,24,Body Slam
Jigglypuff ,28,Mimic
Jigglypuff ,32,Gyro Ball
Jigglypuff ,36,Hyper Voice
Jigglypuff ,44,Double-Edge
Ponyta,1,Tackle
Ponyta,1,Growl
Ponyta,5,Tail Whip
Ponyta,10,Ember
Ponyta,15,Flame Charge
Ponyta,20,Agility
Ponyta,25,Flame Wheel
Ponyta,30,Stomp
Ponyta,35,Fire Spin
Ponyta,41,Take Down
Ponyta,45,Inferno
Ponyta,50,Fire Blast
Ponyta,55,Flare Blitz
Rapidash,1,Smart Strike
Rapidash,1,Megahorn
Rapidash,1,Poison Jab
Rapidash,1,Tackle
Rapidash,1,Quick Attack
Rapidash,1,Growl
Rapidash,1,Tail Whip
Rapidash,1,Ember
Rapidash,Evo.,Smart Strike
Rapidash,15,Flame Charge
Rapidash,20,Agility
Rapidash,25,Flame Wheel
Rapidash,30,Stomp
Rapidash,35,Fire Spin
Rapidash,43,Take Down
Rapidash,49,Inferno
Rapidash,56,Fire Blast
Rapidash,63,Flare Blitz
Slowpoke,1,Tackle
Slowpoke,1,Curse
Slowpoke,3,Growl
Slowpoke,6,Water Gun
Slowpoke,9,Yawn
Slowpoke,12,Confusion
Slowpoke,15,Disable
Slowpoke,18,Water Pulse
Slowpoke,21,Headbutt
Slowpoke,24,Zen Headbutt
Slowpoke,27,Amnesia
Slowpoke,30,Surf
Slowpoke,33,Slack Off
Slowpoke,36,Psychic
Slowpoke,39,Psych Up
Slowpoke,42,Rain Dance
Slowpoke,45,Heal Pulse
Slowbro,1,Withdraw
Slowbro,1,Tackle
Slowbro,1,Curse
Slowbro,1,Growl
Slowbro,1,Water Gun
Slowbro,Rem.,Future Sight
Slowbro,9,Yawn
Slowbro,12,Confusion
Slowbro,15,Disable
Slowbro,18,Water Pulse
Slowbro,21,Headbutt
Slowbro,24,Zen Headbutt
Slowbro,27,Amnesia
Slowbro,30,Surf
Slowbro,33,Slack Off
Slowbro,36,Psychic
Slowbro,41,Psych Up
Slowbro,46,Rain Dance
Slowbro,51,Heal Pulse
Magnemite,1,Thunder Shock
Magnemite,1,Tackle
Magnemite,4,Supersonic
Magnemite,8,Thunder Wave
Magnemite,12,Electro Ball
Magnemite,16,Gyro Ball
Magnemite,20,Spark
Magnemite,24,Screech
Magnemite,28,Magnet Rise
Magnemite,32,Flash Cannon
Magnemite,36,Discharge
Magnemite,40,Metal Sound
Magnemite,44,Light Screen
Magnemite,48,Lock-On
Magnemite,52,Zap Cannon
Magneton,1,Electric Terrain
Magneton,1,Thunder Shock
Magneton,1,Tackle
Magneton,1,Supersonic
Magneton,1,Thunder Wave
Magneton,Evo.,Tri Attack
Magneton,12,Electro Ball
Magneton,16,Gyro Ball
Magneton,20,Spark
Magneton,24,Screech
Magneton,28,Magnet Rise
Magneton,34,Flash Cannon
Magneton,40,Discharge
Magneton,46,Metal Sound
Magneton,52,Light Screen
Magneton,58,Lock-On
Magneton,64,Zap Cannon
Farfetch'd,1,Peck
Farfetch'd,1,Sand Attack
Farfetch'd,5,Leer
Farfetch'd,10,Fury Cutter
Farfetch'd,15,Cut
Farfetch'd,20,Aerial Ace
Farfetch'd,25,Air Cutter
Farfetch'd,30,Knock Off
Farfetch'd,35,False Swipe
Farfetch'd,40,Slash
Farfetch'd,45,Swords Dance
Farfetch'd,50,Air Slash
Farfetch'd,55,Leaf Blade
Farfetch'd,60,Agility
Farfetch'd,65,Brave Bird
Doduo,1,Peck
Doduo,1,Growl
Doduo,5,Quick Attack
Doduo,9,Fury Attack
Doduo,14,Pluck
Doduo,19,Double Hit
Doduo,23,Agility
Doduo,27,Uproar
Doduo,30,Acupressure
Doduo,33,Swords Dance
Doduo,36,Drill Peck
Doduo,39,Endeavor
Doduo,43,Thrash
Dodrio,1,Peck
Dodrio,1,Growl
Dodrio,1,Quick Attack
Dodrio,Evo.,Tri Attack
Dodrio,12,Fury Attack
Dodrio,15,Pluck
Dodrio,19,Double Hit
Dodrio,23,Agility
Dodrio,26,Uproar
Dodrio,30,Acupressure
Dodrio,34,Swords Dance
Dodrio,38,Drill Peck
Dodrio,43,Endeavor
Dodrio,50,Thrash
Seel,1,Headbutt
Seel,3,Growl
Seel,7,Charm
Seel,11,Icy Wind
Seel,13,Encore
Seel,17,Ice Shard
Seel,21,Rest
Seel,23,Aqua Ring
Seel,27,Aurora Beam
Seel,31,Aqua Jet
Seel,33,Brine
Seel,37,Take Down
Seel,41,Dive
Seel,43,Aqua Tail
Seel,47,Ice Beam
Seel,51,Safeguard
Seel,53,Snowscape
Dewgong,1,Headbutt
Dewgong,1,Growl
Dewgong,1,Icy Wind
Dewgong,Evo.,Sheer Cold
Dewgong,13,Encore
Dewgong,17,Ice Shard
Dewgong,21,Rest
Dewgong,23,Aqua Ring
Dewgong,27,Aurora Beam
Dewgong,31,Aqua Jet
Dewgong,33,Brine
Dewgong,39,Take Down
Dewgong,45,Dive
Dewgong,49,Aqua Tail
Dewgong,55,Ice Beam
Dewgong,61,Safeguard
Dewgong,65,Snowscape
Grimer,1,Pound
Grimer,1,Poison Gas
Grimer,4,Harden
Grimer,7,Mud-Slap
Grimer,12,Disable
Grimer,15,Sludge
Grimer,18,Mud Shot
Grimer,21,Minimize
Grimer,26,Toxic
Grimer,29,Sludge Bomb
Grimer,32,Sludge Wave
Grimer,37,Screech
Grimer,40,Gunk Shot
Grimer,43,Acid Armor
Grimer,46,Belch
Grimer,48,Memento
Muk,1,Pound
Muk,1,Poison Gas
Muk,1,Harden
Muk,1,Mud-Slap
Muk,12,Disable
Muk,15,Sludge
Muk,18,Mud Shot
Muk,21,Minimize
Muk,26,Toxic
Muk,29,Sludge Bomb
Muk,32,Sludge Wave
Muk,37,Screech
Muk,40,Gunk Shot
Muk,46,Acid Armor
Muk,52,Belch
Muk,57,Memento
Shellder,1,Tackle
Shellder,1,Water Gun
Shellder,4,Withdraw
Shellder,8,Ice Shard
Shellder,12,Leer
Shellder,16,Whirlpool
Shellder,20,Supersonic
Shellder,24,Aurora Beam
Shellder,28,Protect
Shellder,32,Razor Shell
Shellder,36,Iron Defense
Shellder,40,Ice Beam
Shellder,44,Shell Smash
Shellder,48,Hydro Pump
Cloyster,1,Icicle Crash
Cloyster,1,Toxic Spikes
Cloyster,1,Spikes
Cloyster,1,Leer
Cloyster,1,Whirlpool
Cloyster,1,Supersonic
Cloyster,1,Aurora Beam
Cloyster,1,Protect
Cloyster,1,Iron Defense
Cloyster,1,Ice Beam
Cloyster,1,Shell Smash
Cloyster,1,Hydro Pump
Cloyster,1,Tackle
Cloyster,1,Water Gun
Cloyster,1,Withdraw
Cloyster,1,Ice Shard
Cloyster,Evo.,Icicle Spear
Cloyster,5,Razor Shell
Gastly,1,Lick
Gastly,1,Confuse Ray
Gastly,4,Hypnosis
Gastly,8,Mean Look
Gastly,12,Payback
Gastly,16,Spite
Gastly,20,Curse
Gastly,24,Hex
Gastly,28,Night Shade
Gastly,32,Sucker Punch
Gastly,36,Dark Pulse
Gastly,40,Shadow Ball
Gastly,44,Destiny Bond
Gastly,48,Dream Eater
Haunter,1,Lick
Haunter,1,Confuse Ray
Haunter,1,Hypnosis
Haunter,1,Mean Look
Haunter,Evo.,Shadow Punch
Haunter,12,Payback
Haunter,16,Spite
Haunter,20,Curse
Haunter,24,Hex
Haunter,30,Night Shade
Haunter,36,Sucker Punch
Haunter,42,Dark Pulse
Haunter,48,Shadow Ball
Haunter,54,Destiny Bond
Haunter,60,Dream Eater
Gengar,1,Shadow Punch
Gengar,1,Perish Song
Gengar,1,Reflect Type
Gengar,1,Lick
Gengar,1,Confuse Ray
Gengar,1,Hypnosis
Gengar,1,Mean Look
Gengar,12,Payback
Gengar,16,Spite
Gengar,20,Curse
Gengar,24,Hex
Gengar,30,Night Shade
Gengar,36,Sucker Punch
Gengar,42,Dark Pulse
Gengar,48,Shadow Ball
Gengar,54,Destiny Bond
Gengar,60,Dream Eater
Onix,1,Tackle
Onix,1,Harden
Onix,1,Bind
Onix,1,Rock Throw
Onix,4,Smack Down
Onix,8,Rock Polish
Onix,12,Dragon Breath
Onix,16,Curse
Onix,20,Rock Slide
Onix,24,Screech
Onix,28,Sand Tomb
Onix,32,Stealth Rock
Onix,36,Slam
Onix,40,Sandstorm
Onix,44,Dig
Onix,48,Iron Tail
Onix,52,Stone Edge
Onix,56,Double-Edge
Drowzee,1,Pound
Drowzee,1,Hypnosis
Drowzee,5,Disable
Drowzee,9,Confusion
Drowzee,13,Headbutt
Drowzee,17,Poison Gas
Drowzee,21,Psybeam
Drowzee,25,Psych Up
Drowzee,29,Zen Headbutt
Drowzee,33,Swagger
Drowzee,37,Psychic
Drowzee,41,Nasty Plot
Drowzee,45,Psyshock
Drowzee,49,Future Sight
Hypno,1,Switcheroo
Hypno,1,Pound
Hypno,1,Hypnosis
Hypno,1,Disable
Hypno,1,Confusion
Hypno,13,Headbutt
Hypno,17,Poison Gas
Hypno,21,Psybeam
Hypno,25,Psych Up
Hypno,32,Zen Headbutt
Hypno,37,Swagger
Hypno,42,Psychic
Hypno,47,Nasty Plot
Hypno,51,Psyshock
Hypno,56,Future Sight
Krabby,1,Water Gun
Krabby,1,Leer
Krabby,4,Harden
Krabby,8,Metal Claw
Krabby,12,Mud Shot
Krabby,16,Protect
Krabby,20,Bubble Beam
Krabby,24,Stomp
Krabby,29,Flail
Krabby,32,Razor Shell
Krabby,36,Slam
Krabby,40,Swords Dance
Krabby,44,Crabhammer
Krabby,48,Guillotine
Kingler,1,Wide Guard
Kingler,1,Hammer Arm
Kingler,1,Water Gun
Kingler,1,Leer
Kingler,1,Harden
Kingler,1,Metal Claw
Kingler,12,Mud Shot
Kingler,16,Protect
Kingler,20,Bubble Beam
Kingler,24,Stomp
Kingler,31,Flail
Kingler,36,Razor Shell
Kingler,42,Slam
Kingler,48,Swords Dance
Kingler,54,Crabhammer
Kingler,60,Guillotine
Voltorb,1,Charge
Voltorb,1,Tackle
Voltorb,4,Thunder Shock
Voltorb,6,Eerie Impulse
Voltorb,9,Spark
Voltorb,11,Rollout
Voltorb,13,Screech
Voltorb,16,Charge Beam
Voltorb,20,Swift
Voltorb,22,Electro Ball
Voltorb,26,Self-Destruct
Voltorb,29,Light Screen
Voltorb,34,Magnet Rise
Voltorb,37,Discharge
Voltorb,41,Explosion
Voltorb,46,Gyro Ball
Voltorb,50,Mirror Coat
Electrode,1,Magnetic Flux
Electrode,1,Charge
Electrode,1,Tackle
Electrode,1,Thunder Shock
Electrode,1,Eerie Impulse
Electrode,9,Spark
Electrode,11,Rollout
Electrode,13,Screech
Electrode,16,Charge Beam
Electrode,20,Swift
Electrode,22,Electro Ball
Electrode,26,Self-Destruct
Electrode,29,Light Screen
Electrode,36,Magnet Rise
Electrode,41,Discharge
Electrode,47,Explosion
Electrode,54,Gyro Ball
Electrode,58,Mirror Coat
Exeggcute,1,Absorb
Exeggcute,1,Hypnosis
Exeggcute,5,Reflect
Exeggcute,10,Leech Seed
Exeggcute,15,Mega Drain
Exeggcute,20,Confusion
Exeggcute,25,Synthesis
Exeggcute,30,Bullet Seed
Exeggcute,35,Giga Drain
Exeggcute,40,Extrasensory
Exeggcute,45,Uproar
Exeggcute,50,Worry Seed
Exeggcute,55,Solar Beam
Exeggutor,1,Seed Bomb
Exeggutor,1,Psyshock
Exeggutor,1,Wood Hammer
Exeggutor,1,Leaf Storm
Exeggutor,1,Mega Drain
Exeggutor,1,Confusion
Exeggutor,1,Synthesis
Exeggutor,1,Bullet Seed
Exeggutor,1,Giga Drain
Exeggutor,1,Extrasensory
Exeggutor,1,Uproar
Exeggutor,1,Worry Seed
Exeggutor,1,Solar Beam
Exeggutor,1,Absorb
Exeggutor,1,Hypnosis
Exeggutor,1,Reflect
Exeggutor,1,Leech Seed
Exeggutor,Rem.,Growth
Exeggutor,Evo.,Stomp
Cubone,1,Mud-Slap
Cubone,1,Growl
Cubone,4,Tail Whip
Cubone,8,False Swipe
